年,作況指数(100以上を1),合計降水量,平均気温,合計日照時間,平均風速
2016,1,2758,14.0,1462,1.8
2015,1,2869,13.2,1510,1.6
2014,0,3350,12.8,1562,2.0
2013,1,3316,13.0,1500,2.3
2012,1,2924,12.7,1523,2.1
2011,1,3045,12.7,1432,1.8
2010,1,3418,13.3,1375,1.8
2009,0,2781,13.0,1410,1.7
2008,1,2518,13.0,1478,1.7
2007,0,1974,13.2,1429,1.6
2006,1,2885,12.7,1334,1.7
2005,1,3247,12.8,1408,1.7
2004,1,2858,13.9,1586,1.7
2003,0,2856,12.9,1291,1.6
2002,1,3121,13.1,1517,1.8
2001,1,2488,12.9,1450,1.7
2000,1,2481,13.1,1454,1.8
1999,1,2809,13.3,1321,1.7
1998,0,3231,13.8,1115,1.5
1997,0,2979,12.7,1344,1.7
1996,1,2653,12.0,1324,1.6
1995,0,3330,11.9,1195,1.7
1994,1,1920,13.1,1464,1.7
1993,0,3209,11.9,1065,1.6
1992,1,2372,12.6,1300,1.5
1991,0,2951,12.9,1122,1.5
1990,1,2674,13.6,1381,1.5
1989,1,2951,12.8,1334,1.5
1988,1,3026,11.9,1400,1.5
1987,1,2242,13.2,1320,1.6
1986,1,2415,11.8,1175,1.6
1985,1,3412,12.7,1530,1.6
1984,1,2605,11.9,1685,1.6
1983,0,3371,12.3,1561,1.6
1982,1,2066,12.4,1671,1.5
1981,0,2823,11.5,1548,1.5
1980,0,3076,11.7,1393,1.4
1979,1,3121,13.1,1585,1.4
