年,作況指数(100以上を1),合計降水量,平均気温,合計日照時間,6~8月の平均気温,6~8月の日照時間,6~8月の降水量
2016,1,2758,14.0,1462,23,461,614
2015,1,2869,13.2,1510,22,449,614
2014,0,3350,12.8,1562,23,392,1046
2013,1,3316,13.0,1500,23,476,852
2012,1,2924,12.7,1523,23,533,553
2011,1,3045,12.7,1432,23,405,505
2010,1,3418,13.3,1375,23,538,663
2009,0,2781,13.0,1410,22,360,803
2008,1,2518,13.0,1478,22,442,649
2007,0,1974,13.2,1429,22,381,554
2006,1,2885,12.7,1334,23,389,865
2005,1,3247,12.8,1408,22,367,1146
2004,1,2858,13.9,1586,23,484,489
2003,0,2856,12.9,1291,21,245,801
2002,1,3121,13.1,1517,23,502,525
2001,1,2488,12.9,1450,23,420,590
2000,1,2481,13.1,1454,23,479,351
1999,1,2809,13.3,1321,22,343,596
1998,0,3231,13.8,1115,22,199,864
1997,0,2979,12.7,1344,22,344,796
1996,1,2653,12.0,1324,22,378,679
1995,0,3330,11.9,1195,21,323,881
1994,1,1920,13.1,1464,23,443,287
1993,0,3209,11.9,1065,20,189,1096
1992,1,2372,12.6,1300,21,346,401
1991,0,2951,12.9,1122,22,238,909
1990,1,2674,13.6,1381,23,446,470
1989,1,2951,12.8,1334,21,347,621
1988,1,3026,11.9,1400,21,298,715
1987,1,2242,13.2,1320,22,358,570
1986,1,2415,11.8,1175,22,320,608
1985,1,3412,12.7,1530,22,517,727
1984,1,2605,11.9,1685,23,491,699
1983,0,3371,12.3,1561,21,398,849
1982,1,2066,12.4,1671,20,442,446
1981,0,2823,11.5,1548,22,451,755
1980,0,3076,11.7,1393,21,286,748
1979,1,3121,13.1,1585,22,455,712
